Wind Speed (m/s),Expected Power (kW)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,27
3.5,94
4,179
4.5,281
5,401
5.5,545
6,713
6.5,910
7,1138
7.5,1391
8,1663
8.5,1934
9,2188
9.5,2412
10,2575
10.5,2685
11,2768
11.5,2801
12,2819
12.5,2820
13,2820
13.5,2820
14,2820
14.5,2820
15,2820
15.5,2820
16,2820
16.5,2820
17,2820
17.5,2820
18,2820
18.5,2820
19,2820
19.5,2820
20,2820
20.5,2820
21,2820
21.5,2820
22,2820
22.5,1200
23,1200
23.5,1200
24,1200
24.5,1200
25,1200
25.5,1200
26,1200
26.5,1200
27,1200
27.5,1200
28,1200
28.5,1200
29,1200
29.5,1200
30,0
